docketNumber,paidOrIfp,docketDisposition,docketDispositionDate,journalDispositions,journalDispositionDates,reconciliationStatus,officialDocketUrl,reviewNote
23-7090,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7090.html,Current docket outcome matches at least one parsed Journal row.
23-7091,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7091.html,Current docket outcome matches at least one parsed Journal row.
23-7092,ifp,dismissed,2024-06-03,dismissed,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7092.html,Current docket outcome matches at least one parsed Journal row.
23-7093,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7093.html,Current docket outcome matches at least one parsed Journal row.
23-7094,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7094.html,Current docket outcome matches at least one parsed Journal row.
23-7095,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7095.html,Current docket outcome matches at least one parsed Journal row.
23-7096,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7096.html,Current docket outcome matches at least one parsed Journal row.
23-7097,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7097.html,Current docket outcome matches at least one parsed Journal row.
23-7098,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7098.html,Current docket outcome matches at least one parsed Journal row.
23-7099,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7099.html,Current docket outcome matches at least one parsed Journal row.
