priorityTier,pilotSelected,term,docketNumber,sourceRecordId,sourceUrl,paidOrIfp,missingCharacteristics,neededDocuments,codingStatus,snapshotDate
3_remaining_cohort,no,OT2023,23-6339,docket:23-6339; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6339.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-1310,docket:23-1310; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-1310.html,paid,petitionerType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-713,docket:23-713; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-713.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;meritsDecisionDate;meritsOutcome;reversalOrVacatur,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-6497,docket:23-6497; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6497.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-5705,docket:24-5705; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-5705.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-836,docket:24-836; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-836.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-7342,docket:24-7342; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-7342.html,ifp,petitionerType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2023,23-5214,docket:23-5214; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-5214.html,ifp,petitionerType;respondentType;lowerCourtOrigin;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-227,docket:23-227; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-227.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-6216,docket:24-6216; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-6216.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-7177,docket:24-7177; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-7177.html,ifp,petitionerType;respondentType;lowerCourtOrigin;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-601,docket:24-601; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-601.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-1262,docket:24-1262; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-1262.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2023,23-5447,docket:23-5447; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-5447.html,ifp,petitionerType;respondentType;lowerCourtOrigin;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-6057,docket:23-6057; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6057.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-7374,docket:24-7374; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-7374.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2023,23-1047,docket:23-1047; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-1047.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-750,docket:24-750; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-750.html,paid,petitionerType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-439,docket:24-439; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-439.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-70,docket:24-70; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-70.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-283,docket:24-283; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-283.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
