caseKey,caseName,caseDescription,caseWeight,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,directionalScore,representativeQuality,riskControl,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,fastLaneRate,middleLaneRate,highRiskLaneRate,challengeExhaustionRate,falseNegativePassRate,publicWillReviewRate,publicSignalMovement,districtAlignment,crossBlocAdmissionRate,affectedGroupSponsorshipRate,averageCosponsors,proposalBondForfeiture,strategicDecoyRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,bicameral-majority,Bicameral simple majority,7200,60.000,1415,11.792,60.000,0.564,0.594,0.902,0.197,1.000,0.622,0.658,0.122,0.270,0.803,0.000,0.000,0.000,0.000,0.524,0.063,0.249,0.207,0.831,0.549,0.391,0.000,0.000,0.000,0.169,0.000,0.000,0.077,0.080,0.000,0.591,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.129,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,presidential-veto,Bicameral majority + presidential veto,7200,60.000,839,6.992,60.000,0.547,0.613,0.913,0.117,1.000,0.637,0.674,0.074,0.302,0.883,0.000,0.000,0.000,0.000,0.698,0.033,0.211,0.205,0.829,0.351,0.375,0.000,0.000,0.000,0.171,0.000,0.000,0.064,0.045,0.000,0.621,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.079,426,7
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,default-pass,Default pass unless 2/3 block,7200,60.000,6034,50.283,60.000,0.649,0.467,0.643,0.838,1.000,0.533,0.493,0.447,0.109,0.162,0.000,0.000,0.000,0.442,0.022,0.662,0.657,0.253,0.807,0.993,0.582,0.000,0.000,0.000,0.193,0.000,0.000,0.168,0.783,0.000,0.390,0.000,0.000,0.000,0.662,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.413,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,7200,60.000,6053,50.442,60.000,0.650,0.466,0.644,0.841,1.000,0.532,0.493,0.448,0.108,0.159,0.000,0.000,0.000,0.447,0.025,0.664,0.658,0.256,0.808,0.995,0.594,0.137,0.609,1.568,0.192,0.000,0.000,0.167,0.766,0.000,0.390,0.000,0.000,0.000,0.664,0.000,0.000,0.000,0.000,0.000,3.021,0.210,0.196,0.194,0.211,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.414,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,default-pass-strategic-lobbying,Default pass + strategic lobbying,7200,60.000,6039,50.325,60.000,0.649,0.466,0.642,0.839,1.000,0.532,0.493,0.446,0.108,0.161,0.000,0.000,0.000,0.445,0.025,0.667,0.663,0.256,0.808,0.993,0.595,0.149,0.596,1.438,0.192,0.000,0.000,0.168,0.779,0.000,0.390,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,2.768,0.166,0.153,0.221,0.333,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.413,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,default-pass-adaptive-proposers,Default pass + adaptive proposers,7200,60.000,6197,51.642,59.933,0.662,0.472,0.653,0.861,0.999,0.530,0.492,0.456,0.124,0.139,0.001,0.000,0.000,0.442,0.016,0.572,0.596,0.247,0.818,0.991,0.577,0.000,0.000,0.000,0.182,0.999,0.086,0.165,0.808,0.015,0.397,0.000,0.000,0.000,0.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.423,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,default-pass-adaptive-proposers-lobbying,Default pass + adaptive proposers + strategic lobbying,7200,60.000,6197,51.642,59.933,0.662,0.472,0.652,0.861,0.999,0.529,0.491,0.455,0.123,0.139,0.001,0.000,0.000,0.433,0.017,0.572,0.596,0.250,0.820,0.993,0.589,0.153,0.586,1.400,0.180,0.999,0.086,0.166,0.822,0.015,0.396,0.000,0.000,0.000,0.572,0.000,0.000,0.000,0.000,0.000,2.758,0.167,0.154,0.218,0.332,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.423,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,default-pass-deep-strategy-bundle,Default pass + adaptive strategy bundle,7200,60.000,7036,58.633,59.933,0.722,0.494,0.693,0.977,0.999,0.542,0.451,0.530,0.214,0.023,0.001,0.000,0.000,0.348,0.010,0.374,0.346,0.232,0.833,0.998,0.646,0.150,0.558,1.511,0.167,0.999,0.298,0.122,0.918,0.229,0.431,0.000,0.000,0.000,0.374,0.000,0.000,0.000,0.000,0.000,2.942,0.175,0.158,0.212,0.325,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.441,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,default-pass-multiround-mediation,Default pass + multi-round mediation,7200,60.000,6959,57.992,60.000,0.711,0.487,0.679,0.967,1.000,0.535,0.445,0.518,0.200,0.033,0.000,0.000,0.000,0.378,0.016,0.394,0.369,0.257,0.828,0.997,0.679,0.000,0.000,0.000,0.172,0.730,0.278,0.119,0.943,0.236,0.424,0.000,0.000,0.000,0.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.430,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,7200,60.000,4618,38.483,60.000,0.647,0.517,0.782,0.641,1.000,0.565,0.480,0.362,0.233,0.359,0.000,0.000,0.699,0.142,0.227,0.230,0.328,0.266,0.843,0.796,0.672,0.000,0.000,0.000,0.157,0.728,0.275,0.109,0.571,0.238,0.465,0.000,0.000,0.000,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.308,0,0
